"time","activity"
"2018-12-18 00:00:00",0
"2018-12-18 00:01:00",0
"2018-12-18 00:02:00",0
"2018-12-18 00:03:00",0
"2018-12-18 00:04:00",0
"2018-12-18 00:05:00",0
"2018-12-18 00:06:00",0
"2018-12-18 00:07:00",0
"2018-12-18 00:08:00",0
"2018-12-18 00:09:00",0
"2018-12-18 00:10:00",0
"2018-12-18 00:11:00",0
"2018-12-18 00:12:00",0
"2018-12-18 00:13:00",0
"2018-12-18 00:14:00",0
"2018-12-18 00:15:00",0
"2018-12-18 00:16:00",0
"2018-12-18 00:17:00",0
"2018-12-18 00:18:00",0
"2018-12-18 00:19:00",0
"2018-12-18 00:20:00",0
"2018-12-18 00:21:00",0
"2018-12-18 00:22:00",0
"2018-12-18 00:23:00",0
"2018-12-18 00:24:00",0
"2018-12-18 00:25:00",0
"2018-12-18 00:26:00",0
"2018-12-18 00:27:00",0
"2018-12-18 00:28:00",0
"2018-12-18 00:29:00",0
"2018-12-18 00:30:00",0
"2018-12-18 00:31:00",0
"2018-12-18 00:32:00",0
"2018-12-18 00:33:00",1232.40821159225
"2018-12-18 00:34:00",0
"2018-12-18 00:35:00",0
"2018-12-18 00:36:00",0
"2018-12-18 00:37:00",0
"2018-12-18 00:38:00",0
"2018-12-18 00:39:00",0
"2018-12-18 00:40:00",0
"2018-12-18 00:41:00",0
"2018-12-18 00:42:00",0
"2018-12-18 00:43:00",0
"2018-12-18 00:44:00",0
"2018-12-18 00:45:00",0
"2018-12-18 00:46:00",0
"2018-12-18 00:47:00",0
"2018-12-18 00:48:00",0
"2018-12-18 00:49:00",0
"2018-12-18 00:50:00",0
"2018-12-18 00:51:00",113.50330391667
"2018-12-18 00:52:00",0
"2018-12-18 00:53:00",0
"2018-12-18 00:54:00",0
"2018-12-18 00:55:00",0
"2018-12-18 00:56:00",0
"2018-12-18 00:57:00",0
"2018-12-18 00:58:00",0
"2018-12-18 00:59:00",0
"2018-12-18 01:00:00",0
"2018-12-18 01:01:00",0
"2018-12-18 01:02:00",0
"2018-12-18 01:03:00",0
"2018-12-18 01:04:00",0
"2018-12-18 01:05:00",0
"2018-12-18 01:06:00",0
"2018-12-18 01:07:00",0
"2018-12-18 01:08:00",75.2396172239067
"2018-12-18 01:09:00",0
"2018-12-18 01:10:00",0
"2018-12-18 01:11:00",0
"2018-12-18 01:12:00",0
"2018-12-18 01:13:00",0
"2018-12-18 01:14:00",0
"2018-12-18 01:15:00",0
"2018-12-18 01:16:00",0
"2018-12-18 01:17:00",0
"2018-12-18 01:18:00",0
"2018-12-18 01:19:00",0
"2018-12-18 01:20:00",0
"2018-12-18 01:21:00",374.553067001193
"2018-12-18 01:22:00",0
"2018-12-18 01:23:00",0
"2018-12-18 01:24:00",0
"2018-12-18 01:25:00",0
"2018-12-18 01:26:00",0
"2018-12-18 01:27:00",391.35917007271
"2018-12-18 01:28:00",0
"2018-12-18 01:29:00",0
"2018-12-18 01:30:00",0
"2018-12-18 01:31:00",0
"2018-12-18 01:32:00",0
"2018-12-18 01:33:00",1758.02275298131
"2018-12-18 01:34:00",0
"2018-12-18 01:35:00",0
"2018-12-18 01:36:00",0
"2018-12-18 01:37:00",0
"2018-12-18 01:38:00",0
"2018-12-18 01:39:00",0
"2018-12-18 01:40:00",0
"2018-12-18 01:41:00",0
"2018-12-18 01:42:00",0
"2018-12-18 01:43:00",0
"2018-12-18 01:44:00",0
"2018-12-18 01:45:00",275.292571639701
"2018-12-18 01:46:00",0
